,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,fweight,maxEducLevel,college,regSalud,pea,formal,microEmpresa,sizeFirm,y_salary_m_hu
957,1,2,0,33,4.0,1.0,24.0,391,6.0,1,1.0,1,1.0,0.0,5.0,5347
961,1,3,0,42,1.0,1.0,48.0,254,6.0,1,1.0,1,1.0,0.0,5.0,3586
971,1,1,1,24,6.0,1.0,84.0,336,5.0,0,1.0,1,1.0,0.0,5.0,2361
975,1,3,0,22,24.0,1.0,48.0,129,7.0,0,1.0,1,1.0,0.0,4.0,4131
985,1,1,1,37,120.0,1.0,40.0,342,3.0,0,3.0,1,0.0,1.0,2.0,4083
988,1,2,0,47,36.0,3.0,56.0,219,3.0,0,3.0,1,0.0,1.0,2.0,2500
991,1,1,1,26,5.0,1.0,63.0,301,7.0,0,,1,0.0,1.0,2.0,2962
992,1,1,0,23,1.0,3.0,45.0,301,6.0,1,,1,0.0,1.0,1.0,1037
995,1,3,0,25,36.0,1.0,40.0,246,7.0,0,1.0,1,1.0,0.0,4.0,4303
996,1,1,1,26,3.0,1.0,48.0,203,6.0,1,,1,0.0,0.0,3.0,3888
1008,1,3,1,33,144.0,2.0,70.0,255,7.0,0,2.0,1,1.0,0.0,5.0,5666
1009,1,3,0,30,18.0,1.0,48.0,255,7.0,0,1.0,1,1.0,0.0,5.0,4861
1010,1,2,1,30,108.0,2.0,72.0,255,6.0,1,1.0,1,1.0,0.0,5.0,7129
1014,1,1,0,22,3.0,1.0,56.0,300,5.0,0,3.0,1,0.0,1.0,2.0,3750
1027,1,3,1,37,0.0,1.0,56.0,205,4.0,0,3.0,1,0.0,1.0,2.0,6250
1028,1,3,0,36,6.0,1.0,54.0,205,4.0,0,3.0,1,0.0,0.0,3.0,2160
1032,1,2,0,63,2.0,1.0,30.0,259,7.0,0,1.0,1,0.0,1.0,2.0,2488
1033,1,2,1,32,2.0,1.0,60.0,259,7.0,0,,1,0.0,1.0,2.0,3500
1039,1,3,0,48,18.0,3.0,45.0,186,6.0,1,1.0,1,1.0,1.0,1.0,7259
1040,1,3,0,30,6.0,1.0,8.0,186,7.0,0,1.0,1,1.0,0.0,4.0,11666
1044,1,2,0,32,8.0,1.0,48.0,299,7.0,0,1.0,1,0.0,1.0,2.0,3888
1050,1,2,1,54,156.0,1.0,48.0,254,5.0,0,1.0,1,1.0,0.0,5.0,5420
1051,1,2,0,47,12.0,1.0,48.0,254,5.0,0,1.0,1,1.0,0.0,5.0,3586
1053,1,5,1,50,16.0,1.0,55.0,205,7.0,0,1.0,1,1.0,0.0,5.0,59393
1054,1,5,0,50,3.0,1.0,70.0,205,7.0,0,1.0,1,1.0,0.0,5.0,10000
1056,1,5,0,42,180.0,1.0,48.0,201,7.0,0,1.0,1,1.0,0.0,5.0,12881
1058,1,2,1,40,13.0,1.0,48.0,263,6.0,1,1.0,1,1.0,1.0,2.0,3586
1063,1,2,1,39,11.0,1.0,14.0,263,7.0,0,1.0,1,0.0,0.0,5.0,18333
1064,1,2,0,24,7.0,1.0,48.0,263,7.0,0,1.0,1,1.0,0.0,5.0,4131
1065,1,2,1,24,48.0,1.0,48.0,266,6.0,1,1.0,1,1.0,1.0,2.0,3586
1075,1,2,1,24,18.0,1.0,48.0,243,7.0,0,1.0,1,1.0,0.0,5.0,3586
1077,1,2,1,25,12.0,1.0,48.0,263,6.0,1,1.0,1,1.0,0.0,5.0,3586
1078,1,2,0,23,1.0,1.0,63.0,263,7.0,0,1.0,1,0.0,1.0,2.0,2074
1089,1,3,1,40,30.0,1.0,40.0,254,7.0,0,1.0,1,1.0,0.0,5.0,7583
1090,1,3,0,40,60.0,1.0,40.0,254,7.0,0,1.0,1,1.0,0.0,5.0,35000
1091,1,3,1,51,1.0,1.0,40.0,254,7.0,0,1.0,1,1.0,0.0,5.0,8166
1095,1,3,1,29,10.0,1.0,48.0,243,7.0,0,1.0,1,1.0,0.0,5.0,12152
1096,1,3,1,48,256.0,1.0,48.0,243,7.0,0,1.0,1,1.0,0.0,5.0,10208
1097,1,2,0,35,120.0,1.0,48.0,239,7.0,0,1.0,1,1.0,0.0,4.0,4861
1100,1,2,0,43,1.0,1.0,48.0,132,6.0,1,1.0,1,1.0,0.0,4.0,3586
1101,1,2,0,20,7.0,1.0,48.0,132,6.0,1,1.0,1,1.0,1.0,2.0,3586
1106,1,3,0,30,36.0,1.0,48.0,421,6.0,1,1.0,1,1.0,0.0,5.0,4861
1107,1,3,0,33,0.0,1.0,8.0,421,6.0,1,1.0,1,0.0,1.0,2.0,1166
1127,1,3,0,36,6.0,1.0,40.0,313,6.0,1,1.0,1,0.0,1.0,2.0,1750
1128,1,3,0,64,120.0,1.0,48.0,313,6.0,1,1.0,1,1.0,0.0,4.0,3888
1137,1,2,1,29,24.0,1.0,66.0,243,1.0,0,,1,0.0,0.0,4.0,3535
1139,1,2,1,21,1.0,1.0,40.0,243,4.0,0,,1,0.0,0.0,3.0,5833
1141,1,3,1,41,24.0,1.0,60.0,194,7.0,0,1.0,1,1.0,0.0,5.0,6611
1142,1,3,0,40,36.0,1.0,50.0,194,6.0,1,1.0,1,1.0,0.0,4.0,6066
1143,1,3,1,21,6.0,1.0,40.0,194,7.0,0,1.0,1,1.0,0.0,5.0,6416
1144,1,3,0,20,6.0,1.0,48.0,194,6.0,1,1.0,1,1.0,0.0,4.0,3586
1147,1,3,0,43,250.0,1.0,48.0,239,7.0,0,1.0,1,1.0,0.0,4.0,7291
1148,1,3,1,21,15.0,1.0,48.0,239,6.0,1,1.0,1,1.0,0.0,4.0,5347
1154,1,4,0,53,324.0,2.0,48.0,313,7.0,0,1.0,1,1.0,0.0,5.0,68055
1155,1,4,1,26,124.0,1.0,48.0,313,6.0,1,1.0,1,1.0,0.0,4.0,3586
1156,1,4,0,29,58.0,1.0,48.0,313,7.0,0,1.0,1,1.0,0.0,5.0,6805
1165,1,2,0,37,144.0,1.0,48.0,292,7.0,0,1.0,1,1.0,0.0,4.0,4861
1168,1,3,0,26,1.0,1.0,40.0,255,7.0,0,1.0,1,1.0,0.0,4.0,12250
1172,1,2,0,42,96.0,1.0,45.0,152,6.0,1,1.0,1,1.0,0.0,4.0,4666
1177,1,3,0,31,48.0,1.0,50.0,303,6.0,1,1.0,1,1.0,0.0,5.0,3442
1178,1,1,1,25,2.0,1.0,70.0,303,7.0,0,1.0,1,1.0,0.0,5.0,2459
1181,1,3,1,63,6.0,1.0,48.0,227,5.0,0,1.0,1,1.0,0.0,4.0,4861
1183,1,3,0,33,13.0,1.0,48.0,239,6.0,1,1.0,1,1.0,1.0,2.0,6319
1186,1,3,1,38,36.0,1.0,60.0,238,5.0,0,1.0,1,1.0,0.0,5.0,3772
1187,1,3,0,56,12.0,3.0,48.0,238,4.0,0,1.0,1,1.0,1.0,1.0,3888
1189,1,3,0,30,72.0,2.0,48.0,242,7.0,0,1.0,1,1.0,0.0,5.0,14583
1191,1,1,1,27,24.0,1.0,65.0,301,6.0,1,1.0,1,1.0,0.0,5.0,3589
1208,1,3,1,57,30.0,1.0,54.0,189,5.0,0,1.0,1,1.0,0.0,4.0,3187
1209,1,3,0,21,4.0,1.0,40.0,189,7.0,0,1.0,1,0.0,0.0,5.0,4303
1211,1,3,1,48,60.0,1.0,48.0,331,7.0,0,1.0,1,1.0,0.0,3.0,10694
1212,1,3,0,40,85.0,1.0,48.0,331,7.0,0,1.0,1,1.0,0.0,3.0,9236
1214,1,3,0,25,5.0,1.0,8.0,250,7.0,0,,1,0.0,0.0,4.0,9625
1221,1,2,1,58,3.0,1.0,48.0,172,4.0,0,1.0,1,1.0,0.0,4.0,3888
1222,1,2,0,27,2.0,1.0,45.0,172,7.0,0,1.0,1,1.0,0.0,4.0,4666
1223,1,2,0,23,42.0,1.0,66.0,172,7.0,0,1.0,1,1.0,0.0,5.0,2608
1229,1,2,1,21,1.0,1.0,50.0,292,6.0,1,1.0,1,0.0,1.0,2.0,3442
1231,1,2,0,45,9.0,3.0,50.0,239,5.0,0,1.0,1,1.0,1.0,1.0,3442
1234,1,2,1,36,30.0,1.0,48.0,169,7.0,0,1.0,1,1.0,0.0,5.0,3888
1240,1,2,0,55,156.0,3.0,68.0,288,5.0,0,1.0,1,1.0,1.0,1.0,1852
1241,1,2,0,37,48.0,1.0,48.0,288,6.0,1,1.0,1,1.0,0.0,5.0,3586
1250,1,3,1,25,24.0,1.0,48.0,301,7.0,0,1.0,1,1.0,0.0,5.0,5833
1251,1,3,0,24,12.0,1.0,48.0,301,7.0,0,1.0,1,1.0,0.0,5.0,10694
1252,1,3,0,34,60.0,1.0,40.0,338,6.0,1,1.0,1,1.0,0.0,4.0,4958
1260,1,2,1,54,192.0,1.0,48.0,243,4.0,0,1.0,1,1.0,0.0,5.0,3586
1264,1,3,0,43,2.0,1.0,10.0,292,7.0,0,,1,0.0,0.0,3.0,5600
1269,1,3,1,59,360.0,2.0,30.0,366,7.0,0,2.0,1,1.0,0.0,5.0,23333
1275,1,1,1,24,48.0,1.0,54.0,383,6.0,1,,1,0.0,1.0,2.0,4320
1281,1,1,0,23,36.0,1.0,48.0,141,7.0,0,1.0,1,1.0,1.0,2.0,3586
1282,1,1,0,49,7.0,3.0,70.0,141,4.0,0,,1,0.0,1.0,1.0,666
