,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,ingtot,fweight,maxEducLevel,college,regSalud,pea,formal,cuentaPropia,microEmpresa,sizeFirm
15775,6,2,1,39,2.0,4.0,62.0,1500000,225,6.0,1,1.0,1,0.0,1,1.0,1.0
15776,6,2,1,59,60.0,4.0,60.0,1000000,197,4.0,0,1.0,1,1.0,1,1.0,2.0
15777,6,2,0,54,60.0,3.0,20.0,391666,197,4.0,0,1.0,1,0.0,0,1.0,1.0
15778,6,2,1,36,15.0,1.0,50.0,1154877,197,6.0,1,1.0,1,1.0,0,0.0,4.0
15779,6,2,0,25,24.0,1.0,45.0,1338211,197,7.0,0,1.0,1,1.0,0,0.0,5.0
15782,6,2,1,23,60.0,4.0,54.0,1100000,258,5.0,0,1.0,1,1.0,1,1.0,1.0
15783,6,2,0,22,,,,934594,258,6.0,1,1.0,0,,0,,
15784,6,2,1,66,120.0,4.0,60.0,934594,226,3.0,0,1.0,1,0.0,1,1.0,1.0
15786,6,3,1,33,12.0,4.0,30.0,2000000,216,7.0,0,1.0,1,1.0,1,1.0,1.0
15789,6,2,1,41,30.0,1.0,48.0,2505000,225,7.0,0,1.0,1,1.0,0,0.0,4.0
15792,6,3,0,36,42.0,1.0,48.0,979119,263,7.0,0,1.0,1,1.0,0,1.0,2.0
15793,6,3,1,26,20.0,1.0,63.0,1485666,263,6.0,1,1.0,1,1.0,0,0.0,4.0
15794,6,3,1,22,12.0,1.0,63.0,1000000,263,5.0,0,1.0,1,1.0,0,0.0,4.0
15795,6,2,0,37,48.0,4.0,48.0,800000,202,4.0,0,3.0,1,0.0,1,1.0,1.0
15796,6,2,0,21,48.0,4.0,48.0,650000,202,5.0,0,3.0,1,0.0,1,1.0,1.0
15797,6,2,1,35,36.0,1.0,55.0,500000,225,4.0,0,3.0,1,0.0,0,0.0,3.0
15798,6,2,1,48,12.0,4.0,84.0,3700000,189,7.0,0,2.0,1,1.0,1,0.0,5.0
15799,6,2,0,45,,,,934594,189,6.0,1,2.0,0,,0,,
15800,6,2,1,20,,,,934594,189,7.0,0,2.0,0,,0,,
15806,6,2,1,31,92.0,4.0,40.0,700000,215,7.0,0,3.0,1,0.0,1,1.0,1.0
15807,6,2,1,29,52.0,1.0,48.0,1202377,215,6.0,1,1.0,1,1.0,0,0.0,5.0
15809,6,4,1,46,,,,4000000,239,7.0,0,2.0,0,,0,,
15810,6,4,0,45,,,,934594,239,6.0,1,2.0,0,,0,,
15811,6,4,1,23,4.0,1.0,50.0,1800000,239,7.0,0,1.0,1,1.0,0,0.0,5.0
15812,6,3,0,44,24.0,1.0,48.0,2600000,215,7.0,0,1.0,1,1.0,0,0.0,5.0
15813,6,3,1,46,5.0,1.0,42.0,900000,215,5.0,0,1.0,1,0.0,0,1.0,2.0
15814,6,3,1,22,6.0,1.0,48.0,900000,215,7.0,0,1.0,1,1.0,0,0.0,5.0
15817,6,2,1,24,36.0,4.0,72.0,850000,307,6.0,1,3.0,1,0.0,1,1.0,1.0
15818,6,2,0,21,,,,934594,307,7.0,0,3.0,0,,0,,
15819,6,2,0,57,,,,934594,293,3.0,0,3.0,0,,0,,
15820,6,2,0,31,24.0,1.0,48.0,1091666,293,6.0,1,1.0,1,1.0,0,0.0,4.0
15823,6,2,1,29,8.0,1.0,48.0,957786,240,6.0,1,1.0,1,1.0,0,0.0,5.0
